"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Invalid Checkout Info on Checkout: Information page","1126","Check that correct message is shown if field is blank","Sauce Demo RegressionTest","Sun Dec 15 16:36:33 GMT 2024","passed","Sun Dec 15 16:36:34 GMT 2024","tests.CheckoutInformationTest","Thread#2","tests.CheckoutInformationTest","checkoutNegativeTests"
"Invalid Checkout Info on Checkout: Information page","1228","Check that correct message is shown if field is blank","Sauce Demo RegressionTest","Sun Dec 15 16:36:30 GMT 2024","passed","Sun Dec 15 16:36:31 GMT 2024","tests.CheckoutInformationTest","Thread#2","tests.CheckoutInformationTest","checkoutNegativeTests"
"Return to Shopping cart from Checkout:Information page","939","Check that Cancel button opens Your Cart page ","Sauce Demo RegressionTest","Sun Dec 15 16:36:35 GMT 2024","passed","Sun Dec 15 16:36:36 GMT 2024","tests.CheckoutInformationTest","Thread#2","tests.CheckoutInformationTest","openShoppingCartByCancelButton"
"Invalid Checkout Info on Checkout: Information page","1169","Check that correct message is shown if field is blank","Sauce Demo RegressionTest","Sun Dec 15 16:36:31 GMT 2024","passed","Sun Dec 15 16:36:33 GMT 2024","tests.CheckoutInformationTest","Thread#2","tests.CheckoutInformationTest","checkoutNegativeTests"
"Negative login check","622","Check that user cannot login with invalid data","Sauce Demo RegressionTest","Sun Dec 15 16:36:11 GMT 2024","passed","Sun Dec 15 16:36:12 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","test"
"Open Checkout page using Checkout button","603","Check that Checkout button opens Checkout page","Sauce Demo RegressionTest","Sun Dec 15 16:36:39 GMT 2024","passed","Sun Dec 15 16:36:39 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkCheckoutOpensCheckoutPage"
"Valid Checkout Info on Checkout: Information page","1226","Check that Checkout: Overview page is opened","Sauce Demo RegressionTest","Sun Dec 15 16:36:36 GMT 2024","passed","Sun Dec 15 16:36:37 GMT 2024","tests.CheckoutInformationTest","Thread#2","tests.CheckoutInformationTest","successfulCheckoutInfo"
"Remove product from cart","10622","Check that the product is removed from cart","Sauce Demo RegressionTest","Sun Dec 15 16:36:41 GMT 2024","passed","Sun Dec 15 16:36:51 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkRemovingProductFromCart"
"Products Sorting by price (high to low)","576","Check that products prices are sorted descending","Sauce Demo RegressionTest","Sun Dec 15 16:36:15 GMT 2024","passed","Sun Dec 15 16:36:15 GMT 2024","tests.ProductsTest","Thread#1","tests.ProductsTest","checkSortPriceHighToLow"
"Quantity of added to the Cart product","549","Check that quantity of added products is correct in the shopping cart","Sauce Demo RegressionTest","Sun Dec 15 16:36:52 GMT 2024","passed","Sun Dec 15 16:36:52 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkAddedToTheCartProductQuantity"
"Finish Checkout","1268","Check that Checkout: Complete! page is opened when clicking on Finish button","Sauce Demo RegressionTest","Sun Dec 15 16:36:30 GMT 2024","passed","Sun Dec 15 16:36:31 GMT 2024","tests.CheckoutOverviewTest","Thread#2","tests.CheckoutOverviewTest","finishCheckout"
"Product is displayed on Checkout: Overview page","1093","Check that product is displayed on page","Sauce Demo RegressionTest","Sun Dec 15 16:36:32 GMT 2024","passed","Sun Dec 15 16:36:33 GMT 2024","tests.CheckoutOverviewTest","Thread#2","tests.CheckoutOverviewTest","checkAddedProduct"
"Negative login check","626","Check that user cannot login with invalid data","Sauce Demo RegressionTest","Sun Dec 15 16:36:10 GMT 2024","passed","Sun Dec 15 16:36:11 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","test"
"Products Sorting Z to A","599","Check that products name are sorted descending","Sauce Demo RegressionTest","Sun Dec 15 16:36:17 GMT 2024","passed","Sun Dec 15 16:36:17 GMT 2024","tests.ProductsTest","Thread#1","tests.ProductsTest","checkSortZtoA"
