"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Invalid Checkout Info on Checkout: Information page","1126","Check that correct message is shown if field is blank","Sauce Demo RegressionTest","Thu Dec 12 18:11:04 GMT 2024","passed","Thu Dec 12 18:11:05 GMT 2024","tests.CheckoutInformationTest","Thread#2","tests.CheckoutInformationTest","checkoutNegativeTests"
"Remove button appears for added to the cart product","519","Check that Remove button appears for added to the cart product","Sauce Demo RegressionTest","Thu Dec 12 18:11:02 GMT 2024","passed","Thu Dec 12 18:11:02 GMT 2024","tests.ProductsTest","Thread#1","tests.ProductsTest","checkRemoveButtonAppears"
"Remove product using Remove button on Products page","10778","Check that Remove button delete added to the cart product","Sauce Demo RegressionTest","Thu Dec 12 18:10:51 GMT 2024","passed","Thu Dec 12 18:11:01 GMT 2024","tests.ProductsTest","Thread#1","tests.ProductsTest","checkRemovingProductFromCart"
"Return to Shopping cart from Checkout:Information page","1126","Check that Cancel button opens Your Cart page ","Sauce Demo RegressionTest","Thu Dec 12 18:11:08 GMT 2024","passed","Thu Dec 12 18:11:09 GMT 2024","tests.CheckoutInformationTest","Thread#2","tests.CheckoutInformationTest","openShoppingCartByCancelButton"
"Product is displayed on Checkout: Overview page","1122","Check that product is displayed on page","Sauce Demo RegressionTest","Thu Dec 12 18:11:04 GMT 2024","passed","Thu Dec 12 18:11:06 GMT 2024","tests.CheckoutOverviewTest","Thread#2","tests.CheckoutOverviewTest","checkAddedProduct"
"Valid Checkout Info on Checkout: Information page","1403","Check that Checkout: Overview page is opened","Sauce Demo RegressionTest","Thu Dec 12 18:11:09 GMT 2024","passed","Thu Dec 12 18:11:11 GMT 2024","tests.CheckoutInformationTest","Thread#2","tests.CheckoutInformationTest","successfulCheckoutInfo"
"Invalid Checkout Info on Checkout: Information page","1128","Check that correct message is shown if field is blank","Sauce Demo RegressionTest","Thu Dec 12 18:11:03 GMT 2024","passed","Thu Dec 12 18:11:04 GMT 2024","tests.CheckoutInformationTest","Thread#2","tests.CheckoutInformationTest","checkoutNegativeTests"
"Quantity of added to the Cart product","545","Check that quantity of added products is correct in the shopping cart","Sauce Demo RegressionTest","Thu Dec 12 18:11:26 GMT 2024","passed","Thu Dec 12 18:11:26 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkAddedToTheCartProductQuantity"
"Option can be set in dropdown","639","checkDropdown","Sauce Demo RegressionTest","Thu Dec 12 18:10:44 GMT 2024","passed","Thu Dec 12 18:10:44 GMT 2024","tests.ProductsTest","Thread#1","tests.ProductsTest","checkDropdown"
"Open Products page using Continue Shopping button","684","Check that Continue Shopping opens Products page","Sauce Demo RegressionTest","Thu Dec 12 18:11:14 GMT 2024","passed","Thu Dec 12 18:11:14 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkContinueShoppingOpensProducts"
"Negative login check","750","Check that user cannot login with invalid data","Sauce Demo RegressionTest","Thu Dec 12 18:10:42 GMT 2024","passed","Thu Dec 12 18:10:43 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","test"
"Back Home button returns to Products Page","1516","Check that Products page is opened when clicking on Back Home button","Sauce Demo RegressionTest","Thu Dec 12 18:11:10 GMT 2024","passed","Thu Dec 12 18:11:12 GMT 2024","tests.CheckoutCompleteTest","Thread#2","tests.CheckoutCompleteTest","openProductsPageUsingBackHome"
"Invalid Checkout Info on Checkout: Information page","1334","Check that correct message is shown if field is blank","Sauce Demo RegressionTest","Thu Dec 12 18:11:06 GMT 2024","passed","Thu Dec 12 18:11:07 GMT 2024","tests.CheckoutInformationTest","Thread#2","tests.CheckoutInformationTest","checkoutNegativeTests"
"Products Sorting by price (high to low)","587","Check that products prices are sorted descending","Sauce Demo RegressionTest","Thu Dec 12 18:10:48 GMT 2024","passed","Thu Dec 12 18:10:48 GMT 2024","tests.ProductsTest","Thread#1","tests.ProductsTest","checkSortPriceHighToLow"
"Products Sorting Z to A","580","Check that products name are sorted descending","Sauce Demo RegressionTest","Thu Dec 12 18:10:50 GMT 2024","passed","Thu Dec 12 18:10:50 GMT 2024","tests.ProductsTest","Thread#1","tests.ProductsTest","checkSortZtoA"
"Add products to the cart>remove products from the cart>check the cart is empty","10872","Add products to the cart>remove products from the cart>check the cart is empty","Sauce Demo RegressionTest","Thu Dec 12 18:11:27 GMT 2024","passed","Thu Dec 12 18:11:37 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkEndToEndCase"
"Check thank you message is correct","1517","Check that Thank you message is shown after finishing checkout","Sauce Demo RegressionTest","Thu Dec 12 18:11:08 GMT 2024","passed","Thu Dec 12 18:11:10 GMT 2024","tests.CheckoutCompleteTest","Thread#2","tests.CheckoutCompleteTest","checkThankYouMessage"
"Option can be set in dropdown","703","checkDropdown","Sauce Demo RegressionTest","Thu Dec 12 18:10:45 GMT 2024","passed","Thu Dec 12 18:10:45 GMT 2024","tests.ProductsTest","Thread#1","tests.ProductsTest","checkDropdown"
"Negative login check","598","Check that user cannot login with invalid data","Sauce Demo RegressionTest","Thu Dec 12 18:10:43 GMT 2024","passed","Thu Dec 12 18:10:44 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","test"
"Open Checkout page using Checkout button","674","Check that Checkout button opens Checkout page","Sauce Demo RegressionTest","Thu Dec 12 18:11:12 GMT 2024","passed","Thu Dec 12 18:11:13 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkCheckoutOpensCheckoutPage"
"Products Sorting by price (low to high)","579","Check that products prices are sorted ascending","Sauce Demo RegressionTest","Thu Dec 12 18:10:49 GMT 2024","passed","Thu Dec 12 18:10:49 GMT 2024","tests.ProductsTest","Thread#1","tests.ProductsTest","checkSortPriceLowToHigh"
